,Input_Count,Outputs,Wiring,Gates,Gate_Activations,Truth_Table,Final_Population
11,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(1, 1, 1, 0, 0, 1)",[ 0.  0.  0.  0.  4.  4.  6.  7.  0.  0.  0.  8.  4.  4.  6. 15.],False
12,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(1, 0, 1, 0, 1, 1)",[ 0.  0.  0.  0.  4.  4.  6.  7.  0.  0.  8.  8.  4.  4. 14. 15.],False
13,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(0, 0, 1, 0, 1, 1)",[ 0.  0.  0.  0.  4.  4.  6.  7.  0.  0.  8.  8.  4.  4. 14. 15.],False
14,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(0, 1, 0, 0, 0, 1)",[ 0.  0.  0.  0.  4.  4.  6.  7.  8.  8.  8.  8. 12. 12. 14. 15.],False
15,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(0, 1, 1, 1, 0, 0)",[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  8.  0.  0.  0. 15.],False
16,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(0, 1, 1, 1, 1, 0)",[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  8.  0.  0.  0. 15.],True
17,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(0, 1, 1, 0, 0, 0)",[ 0.  0.  0.  0.  4.  4.  6.  7.  0.  0.  0.  8.  4.  4.  6. 15.],False
18,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(0, 0, 1, 1, 0, 1)",[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  8.  8.  0.  0. 14. 15.],False
19,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(0, 1, 0, 0, 0, 0)",[ 0.  0.  0.  0.  4.  4.  6.  7.  8.  8.  8.  8. 12. 12. 14. 15.],False
20,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(0, 1, 1, 0, 1, 0)",[ 0.  0.  0.  0.  4.  4.  6.  7.  0.  0.  0.  8.  4.  4.  6. 15.],True
21,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(0, 0, 1, 1, 0, 0)",[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  8.  8.  0.  0. 14. 15.],False
22,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(1, 1, 1, 1, 1, 0)",[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  8.  0.  0.  0. 15.],False
23,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(0, 1, 0, 1, 0, 0)",[ 0.  0.  0.  0.  0.  0.  0.  0.  8.  8.  8.  8. 12. 12. 14. 15.],False
24,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(0, 1, 0, 0, 1, 0)",[ 0.  0.  0.  0.  4.  4.  6.  7.  8.  8.  8.  8. 12. 12. 14. 15.],False
25,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(0, 1, 1, 1, 1, 1)",[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  8.  0.  0.  0. 15.],False
26,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(0, 1, 0, 0, 1, 1)",[ 0.  0.  0.  0.  4.  4.  6.  7.  8.  8.  8.  8. 12. 12. 14. 15.],True
27,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(0, 0, 0, 1, 0, 1)",[ 0.  0.  0.  0.  0.  0.  0.  0.  8.  8.  8.  8. 12. 12. 14. 15.],False
28,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(0, 1, 0, 1, 0, 1)",[ 0.  0.  0.  0.  0.  0.  0.  0.  8.  8.  8.  8. 12. 12. 14. 15.],False
29,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(1, 1, 1, 1, 0, 0)",[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  8.  0.  0.  0. 15.],False
30,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(1, 0, 1, 1, 0, 0)",[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  8.  8.  0.  0. 14. 15.],False
31,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(1, 0, 1, 1, 0, 1)",[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  8.  8.  0.  0. 14. 15.],False
32,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(1, 1, 1, 0, 1, 0)",[ 0.  0.  0.  0.  4.  4.  6.  7.  0.  0.  0.  8.  4.  4.  6. 15.],False
33,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(1, 0, 1, 1, 1, 0)",[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  8.  8.  0.  0. 14. 15.],False
34,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(1, 0, 0, 0, 1, 0)",[ 0.  0.  0.  0.  4.  4.  6.  7.  8.  8.  8.  8. 12. 12. 14. 15.],False
35,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(1, 1, 0, 0, 0, 0)",[ 0.  0.  0.  0.  4.  4.  6.  7.  8.  8.  8.  8. 12. 12. 14. 15.],False
36,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(1, 0, 1, 0, 0, 0)",[ 0.  0.  0.  0.  4.  4.  6.  7.  0.  0.  8.  8.  4.  4. 14. 15.],False
37,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(0, 0, 1, 0, 0, 0)",[ 0.  0.  0.  0.  4.  4.  6.  7.  0.  0.  8.  8.  4.  4. 14. 15.],False
38,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(1, 1, 0, 1, 1, 0)",[ 0.  0.  0.  0.  0.  0.  0.  0.  8.  8.  8.  8. 12. 12. 14. 15.],False
39,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(0, 0, 0, 1, 0, 0)",[ 0.  0.  0.  0.  0.  0.  0.  0.  8.  8.  8.  8. 12. 12. 14. 15.],False
40,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(0, 1, 1, 1, 0, 1)",[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  8.  0.  0.  0. 15.],False
41,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(0, 0, 1, 1, 1, 0)",[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  8.  8.  0.  0. 14. 15.],False
42,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(0, 1, 1, 0, 1, 1)",[ 0.  0.  0.  0.  4.  4.  6.  7.  0.  0.  0.  8.  4.  4.  6. 15.],False
43,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(1, 1, 0, 1, 1, 1)",[ 0.  0.  0.  0.  0.  0.  0.  0.  8.  8.  8.  8. 12. 12. 14. 15.],False
44,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(0, 0, 1, 1, 1, 1)",[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  8.  8.  0.  0. 14. 15.],True
45,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(1, 1, 1, 1, 0, 1)",[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  8.  0.  0.  0. 15.],False
46,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(0, 0, 0, 1, 1, 1)",[ 0.  0.  0.  0.  0.  0.  0.  0.  8.  8.  8.  8. 12. 12. 14. 15.],True
47,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(1, 1, 1, 1, 1, 1)",[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  8.  0.  0.  0. 15.],False
48,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(1, 0, 0, 1, 0, 1)",[ 0.  0.  0.  0.  0.  0.  0.  0.  8.  8.  8.  8. 12. 12. 14. 15.],False
49,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(1, 1, 1, 0, 1, 1)",[ 0.  0.  0.  0.  4.  4.  6.  7.  0.  0.  0.  8.  4.  4.  6. 15.],False
50,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(1, 0, 1, 0, 0, 1)",[ 0.  0.  0.  0.  4.  4.  6.  7.  0.  0.  8.  8.  4.  4. 14. 15.],False
51,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(1, 0, 1, 1, 1, 1)",[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  8.  8.  0.  0. 14. 15.],False
52,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(1, 1, 0, 1, 0, 1)",[ 0.  0.  0.  0.  0.  0.  0.  0.  8.  8.  8.  8. 12. 12. 14. 15.],False
53,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(1, 1, 0, 0, 1, 1)",[ 0.  0.  0.  0.  4.  4.  6.  7.  8.  8.  8.  8. 12. 12. 14. 15.],False
54,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(0, 1, 0, 1, 1, 0)",[ 0.  0.  0.  0.  0.  0.  0.  0.  8.  8.  8.  8. 12. 12. 14. 15.],False
55,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(0, 0, 0, 0, 1, 0)",[ 0.  0.  0.  0.  4.  4.  6.  7.  8.  8.  8.  8. 12. 12. 14. 15.],False
56,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(1, 0, 0, 0, 0, 0)",[ 0.  0.  0.  0.  4.  4.  6.  7.  8.  8.  8.  8. 12. 12. 14. 15.],False
57,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(0, 0, 1, 0, 1, 0)",[ 0.  0.  0.  0.  4.  4.  6.  7.  0.  0.  8.  8.  4.  4. 14. 15.],True
58,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'AND']","(1, 0, 0, 1, 1, 0)",[ 0.  0.  0.  0.  0.  0.  0.  0.  8.  8.  8.  8. 12. 12. 14. 15.],True
59,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'OR']","(1, 1, 1, 1, 1, 1)",[ 0.  1.  0.  1.  0.  1.  0.  1.  0.  1.  0.  9.  0.  1.  0. 15.],False
60,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'OR']","(1, 1, 0, 1, 0, 1)",[ 0.  1.  0.  1.  0.  1.  0.  1.  8.  9.  8.  9. 12. 13. 15. 15.],False
61,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'OR']","(1, 0, 1, 0, 1, 1)",[ 0.  1.  0.  1.  4.  5.  7.  7.  0.  1.  8.  9.  4.  5. 15. 15.],False
62,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'OR']","(0, 0, 0, 0, 1, 0)",[ 0.  1.  0.  1.  4.  5.  7.  7.  8.  9.  8.  9. 12. 13. 15. 15.],False
63,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'OR']","(0, 1, 0, 0, 0, 1)",[ 0.  1.  0.  1.  4.  5.  7.  7.  8.  9.  8.  9. 12. 13. 15. 15.],False
64,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'OR']","(0, 1, 0, 0, 1, 1)",[ 0.  1.  0.  1.  4.  5.  7.  7.  8.  9.  8.  9. 12. 13. 15. 15.],False
65,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'OR']","(0, 0, 1, 0, 0, 1)",[ 0.  1.  0.  1.  4.  5.  7.  7.  0.  1.  8.  9.  4.  5. 15. 15.],True
66,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'OR']","(1, 1, 1, 1, 0, 0)",[ 0.  1.  0.  1.  0.  1.  0.  1.  0.  1.  0.  9.  0.  1.  0. 15.],False
67,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'OR']","(1, 1, 0, 0, 1, 0)",[ 0.  1.  0.  1.  4.  5.  7.  7.  8.  9.  8.  9. 12. 13. 15. 15.],False
68,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'OR']","(0, 1, 1, 0, 1, 1)",[ 0.  1.  0.  1.  4.  5.  7.  7.  0.  1.  0.  9.  4.  5.  7. 15.],False
69,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'OR']","(1, 0, 0, 0, 1, 0)",[ 0.  1.  0.  1.  4.  5.  7.  7.  8.  9.  8.  9. 12. 13. 15. 15.],False
70,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'OR']","(1, 0, 1, 1, 0, 0)",[ 0.  1.  0.  1.  0.  1.  0.  1.  0.  1.  8.  9.  0.  1. 15. 15.],False
71,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'OR']","(0, 1, 1, 1, 0, 0)",[ 0.  1.  0.  1.  0.  1.  0.  1.  0.  1.  0.  9.  0.  1.  0. 15.],False
72,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'OR']","(1, 0, 1, 1, 1, 0)",[ 0.  1.  0.  1.  0.  1.  0.  1.  0.  1.  8.  9.  0.  1. 15. 15.],False
73,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'OR']","(1, 0, 0, 0, 1, 1)",[ 0.  1.  0.  1.  4.  5.  7.  7.  8.  9.  8.  9. 12. 13. 15. 15.],False
74,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'OR']","(1, 0, 1, 0, 0, 0)",[ 0.  1.  0.  1.  4.  5.  7.  7.  0.  1.  8.  9.  4.  5. 15. 15.],False
75,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'OR']","(1, 0, 1, 1, 1, 1)",[ 0.  1.  0.  1.  0.  1.  0.  1.  0.  1.  8.  9.  0.  1. 15. 15.],False
76,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'OR']","(1, 0, 0, 0, 0, 0)",[ 0.  1.  0.  1.  4.  5.  7.  7.  8.  9.  8.  9. 12. 13. 15. 15.],False
77,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'OR']","(1, 1, 1, 1, 0, 1)",[ 0.  1.  0.  1.  0.  1.  0.  1.  0.  1.  0.  9.  0.  1.  0. 15.],False
78,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'OR']","(1, 0, 1, 0, 0, 1)",[ 0.  1.  0.  1.  4.  5.  7.  7.  0.  1.  8.  9.  4.  5. 15. 15.],False
79,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'OR']","(1, 1, 0, 0, 0, 0)",[ 0.  1.  0.  1.  4.  5.  7.  7.  8.  9.  8.  9. 12. 13. 15. 15.],False
80,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'OR']","(1, 1, 1, 0, 0, 0)",[ 0.  1.  0.  1.  4.  5.  7.  7.  0.  1.  0.  9.  4.  5.  7. 15.],False
81,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'OR']","(0, 1, 1, 0, 0, 0)",[ 0.  1.  0.  1.  4.  5.  7.  7.  0.  1.  0.  9.  4.  5.  7. 15.],False
82,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'OR']","(1, 0, 0, 1, 0, 1)",[ 0.  1.  0.  1.  0.  1.  0.  1.  8.  9.  8.  9. 12. 13. 15. 15.],False
83,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'OR']","(0, 0, 1, 1, 0, 0)",[ 0.  1.  0.  1.  0.  1.  0.  1.  0.  1.  8.  9.  0.  1. 15. 15.],False
84,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'OR']","(1, 1, 0, 1, 0, 0)",[ 0.  1.  0.  1.  0.  1.  0.  1.  8.  9.  8.  9. 12. 13. 15. 15.],False
85,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'OR']","(0, 1, 0, 0, 0, 0)",[ 0.  1.  0.  1.  4.  5.  7.  7.  8.  9.  8.  9. 12. 13. 15. 15.],False
86,4,"[6, 7, 8, 9]","[[0, 1], [2, 3], [0, 5], [1, 6], [2, 7], [3, 8]]","['AND', 'AND', 'AND', 'AND', 'AND', 'OR']","(0, 0, 1, 0, 0, 0)",[ 0.  1.  0.  1.  4.  5.  7.  7.  0.  1.  8.  9.  4.  5. 15. 15.],False
